,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia),Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,infantdeaths,GDP_Health_Gov_Expenditure (%),HepatitisB,Measles,BMI,under-fivedeaths,Polio,Diphtheria,HIV/AIDS,GDP.1,Population,thinness1-19years,thinness5-9years,HDI,Schooling
128,0.5624751809122658,0.8134863854509022,0.7066174773059707,0.8710139039755234,0.6085771318557092,-0.3859955548635031,0.927323672619123,1.0,0.1356382978723404,0.00804289544235925,0.05405405405405406,0.09027777777777778,0.8556818181818181,0.002066115702479339,0.0032967032967032967,0.0,0.98989898989899,0.0001770166063703851,0.8571428571428571,0.0027272727272727275,0.98989898989899,0.98989898989899,0.01075268817204301,0.06770325084379483,0.043668921318443035,0.24344569288389514,0.23443223443223443,0.7626582278481012,0.7156862745098039
129,0.5602212770859671,0.7190768250509068,0.8113716150302817,0.7422757483711223,0.5656652499623906,-0.18907606405646185,0.7976008556553166,1.0,0.0,0.0,0.0,0.0,0.7170454545454545,0.05165289256198347,0.008791208791208791,0.0,0.7373737373737373,1.106353789814907e-05,0.053221288515406154,0.01090909090909091,0.6767676767676768,0.7373737373737373,0.0967741935483871,0.02048039980897963,0.016200444563296553,0.29213483146067415,0.2747252747252747,0.5411392405063291,0.4166666666666667
130,0.5541255386811287,0.8200359478540801,0.8468244903952968,0.8749486685075997,0.859113115455497,0.14470274226525243,0.918143863509692,1.0,0.0425531914893617,0.27882037533512066,0.0,0.1527777777777778,0.8160336239103363,0.31829503000113213,0.03260575041396959,0.008186985578012269,0.8172233281722333,0.020182848454840533,0.5924176567178595,0.035653798256537986,0.8444029334440295,0.8459941884599418,0.07880394756223302,0.12985324013190647,0.049568281787343446,0.1682810280253132,0.16463306808134395,0.7378274595513462,0.6445196783749471
131,0.5520765073665908,0.5846164489122038,0.689627574873641,0.6887610225165595,0.7187640186168319,0.149176075685887,0.8651308817654683,1.0,0.20212765957446807,0.002680965147453083,0.024324324324324326,0.11805555555555555,0.7352272727272727,0.5516528925619835,0.007692307692307693,0.0,0.08080808080808081,0.015035348003584586,0.3837535014005602,0.00909090909090909,0.08080808080808081,0.08080808080808081,0.30107526881720426,0.12985324013190647,0.049568281787343446,0.2808988764044944,0.26007326007326004,0.6223628691983122,0.5441176470588236
132,0.5520765073665908,0.5846164489122038,0.689627574873641,0.6887610225165595,0.7187640186168319,0.149176075685887,0.8651308817654683,1.0,0.20212765957446807,0.002680965147453083,0.024324324324324326,0.11805555555555555,0.6795454545454546,0.5330578512396694,0.25934065934065936,0.0,0.8181818181818182,0.05553896024870833,0.3025210084033613,0.28,0.7878787878787878,0.8181818181818182,0.11827956989247312,0.12985324013190647,0.049568281787343446,0.3558052434456929,0.34065934065934067,0.7378274595513462,0.6445196783749471
133,0.5517051720651402,0.8001859597739391,0.7903090595699479,0.6664737412812247,0.6634087424226367,-0.3552955436956735,0.7570271341023788,1.0,0.2393617021276596,0.005361930294906166,0.005405405405405406,0.3263888888888889,0.6693181818181818,0.7706611570247934,0.002197802197802198,0.0,0.09090909090909091,0.0,0.45238095238095233,0.0027272727272727275,0.8484848484848485,0.09090909090909091,0.7634408602150536,0.055467404796016216,0.0005109618854103507,0.149812734082397,0.15018315018315018,0.5706751054852321,0.5588235294117647
134,0.5516923484198587,0.7580756215006268,0.8047927618908256,0.7676848353353077,0.9180276221169642,1.0,0.6895410024473657,1.0,0.013297872340425532,0.002680965147453083,0.0,0.006944444444444445,0.7568181818181817,0.41115702479338845,0.04285714285714286,0.0,0.898989898989899,6.638122738889442e-05,0.3333333333333333,0.045454545454545456,0.898989898989899,0.898989898989899,0.03225806451612903,0.021122876945448527,0.0203115357984384,0.4794007490636705,0.47619047619047616,0.5822784810126583,0.44607843137254904
135,0.5492079246631739,0.6841191602239355,0.6419226180914464,0.7466873714404235,0.5616550411877924,0.16053894725018533,0.8343683196653077,1.0,0.0026595744680851063,0.00804289544235925,0.002702702702702703,0.006944444444444445,0.7215909090909091,0.4690082644628099,0.001098901098901099,0.0,0.9191919191919192,0.0,0.33893557422969184,0.0018181818181818182,0.9292929292929293,0.9191919191919192,0.08602150537634408,0.012866311840321297,0.0030113791329248996,0.250936329588015,0.23809523809523808,0.5253164556962026,0.5441176470588236
136,0.5362224215837584,0.6425566731350129,0.5656405397022467,0.712456180717416,0.6664921729961578,0.004758420389960548,0.8099032688677557,1.0,0.09574468085106383,0.005361930294906166,0.051351351351351354,0.09027777777777778,0.6806818181818182,0.5929752066115702,0.014285714285714285,0.0,0.8888888888888888,0.00022127075796298142,0.34033613445378147,0.01818181818181818,0.8888888888888888,0.8888888888888888,0.1075268817204301,0.009745280063823022,0.0028729312422384767,0.24344569288389514,0.2271062271062271,0.510548523206751,0.5882352941176471
137,0.5360943686442018,0.6558025468587141,0.7626249657350543,0.7634908060585885,0.7597914117405331,0.07736778561622572,0.8055814174158631,1.0,0.05319148936170213,0.00804289544235925,0.0,0.048611111111111105,0.7363636363636363,0.46487603305785125,0.14945054945054945,0.0,0.7777777777777778,0.19632248000265526,0.24649859943977592,0.17636363636363636,0.7575757575757576,0.7777777777777778,0.06451612903225806,0.011413150952411695,0.03868628469120099,0.05243445692883895,0.04395604395604395,0.46518987341772156,0.411764705882353
138,0.5334562446573974,0.6359172874257581,0.6855614656017538,0.7695560116207439,0.5718719696479906,-0.021088636049714754,0.873769361200233,1.0,0.06914893617021277,0.040214477211796246,0.010810810810810811,0.05555555555555556,0.7443181818181818,0.045454545454545456,0.03076923076923077,0.0,0.696969696969697,3.319061369444721e-05,0.0350140056022409,0.034545454545454546,0.7171717171717171,0.696969696969697,0.03225806451612903,0.0007401299329072745,0.009387465774267195,0.26591760299625467,0.26007326007326004,0.5390295358649789,0.5049019607843138
