,Country,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia),Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,infantdeaths,GDP_Health_Gov_Expenditure (%),HepatitisB,Measles,BMI,under-fivedeaths,Polio,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,HDI,Schooling
16,Germany,7.075799942000001,10.7328186,0.898874462,72.20201874,0.867371082,0.08017938599999999,0.456422031,1.9723167419999998,346.0,117.0,175.0,11.3,81.0,68.0,2.0,0.0,88.0,2464.0,62.3,3.0,94.0,95.0,0.1,41176.88158,81686611.0,1.1,1.1,0.924,17.1
17,United States,6.939599991000001,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.6997153159999999,1.9723167419999998,112.98648648648648,77.83108108108108,54.945945945945944,5.0027027027027025,71.8109589041096,154.05479452054794,29.671232876712327,2.98804693369863,80.9051094890511,1824.2671232876712,42.298620689655166,39.21917808219178,83.5958904109589,83.75342465753425,0.7328767123287672,7343.770473535714,12796652.364,4.493103448275862,4.49448275862069,0.6994604316546762,13.14820143884892
18,Czech Republic,6.9109001160000005,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,1.9723167419999998,361.0,170.0,134.0,11.8,71.8109589041096,154.05479452054794,29.671232876712327,2.98804693369863,80.9051094890511,1824.2671232876712,42.298620689655166,39.21917808219178,83.5958904109589,83.75342465753425,0.7328767123287672,7343.770473535714,12796652.364,4.493103448275862,4.49448275862069,0.6994604316546762,13.14820143884892
19,Belgium,6.863500117999999,10.673639300000001,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.9723167419999998,295.0,84.0,212.0,10.5,81.1,74.0,0.0,0.0,98.0,47.0,63.7,1.0,99.0,99.0,0.1,4356.875,11274196.0,1.0,1.0,0.895,16.6
20,United Arab Emirates,6.790800095,11.1099987,0.8491811159999999,67.08278656,0.941345513,0.123450845,0.594502211,1.9723167419999998,16.0,135.0,5.0,2.8,77.1,75.0,1.0,0.0,99.0,347.0,64.2,1.0,99.0,99.0,0.1,3911.74689,12796652.364,5.3,5.1,0.836,13.3
21,Malta,6.772799968999999,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,1.9723167419999998,149.0,100.0,120.0,6.6,81.7,54.0,0.0,0.0,95.0,2.0,69.6,0.0,97.0,97.0,0.1,23819.4636,431874.0,0.8,0.8,0.853,14.6
22,France,6.663799762999999,10.58422279,0.937103748,73.80193329,0.8254676459999999,-0.130641967,0.583521128,1.9723167419999998,127.0,151.0,370.0,11.8,82.4,78.0,2.0,0.0,86.0,157.0,62.5,3.0,98.0,98.0,0.1,36526.7711,6662468.0,0.7,0.6,0.894,16.3
23,Mexico,6.465000152999999,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,1.9723167419999998,238.0,68.0,5.0,5.5,76.7,122.0,30.0,0.0,82.0,0.0,63.5,35.0,87.0,87.0,0.1,9143.128494,12589949.0,1.5,1.5,0.758,13.3
24,Taiwan,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.07319869799999999,0.73188293,1.9723167419999998,112.98648648648648,77.83108108108108,54.945945945945944,5.0027027027027025,71.8109589041096,154.05479452054794,29.671232876712327,2.98804693369863,80.9051094890511,1824.2671232876712,42.298620689655166,39.21917808219178,83.5958904109589,83.75342465753425,0.7328767123287672,7343.770473535714,12796652.364,4.493103448275862,4.49448275862069,0.6994604316546762,13.14820143884892
25,Uruguay,6.440100192999999,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.9723167419999998,115.0,35.0,220.0,6.6,77.0,116.0,0.0,0.0,95.0,0.0,64.0,0.0,95.0,95.0,0.1,15524.84247,3431552.0,1.5,1.4,0.794,15.5
26,Saudi Arabia,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.16869506199999998,0.682619512,1.9723167419999998,0.0,5.0,0.0,0.1,74.5,88.0,7.0,0.0,98.0,219.0,68.2,8.0,97.0,98.0,0.1,2732.86172,12796652.364,7.8,7.6,0.845,16.1
27,Spain,6.4008998870000005,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714000000005,0.765859902,1.9723167419999998,284.0,157.0,112.0,10.0,82.8,56.0,1.0,0.0,97.0,115.0,66.6,1.0,97.0,97.0,0.1,25683.84565,46447697.0,0.6,0.5,0.882,17.7
28,Guatemala,6.398900032,8.924805641,0.8166214820000001,64.8089447,0.9081475729999999,-0.042938665,0.783237457,1.9723167419999998,53.0,69.0,2.0,2.2,71.9,186.0,10.0,0.0,74.0,0.0,5.6,12.0,9.0,74.0,0.4,3923.573344,16252429.0,1.2,1.2,0.637,10.7
29,Italy,6.38740015,10.48183632,0.8898785709999999,73.60168457,0.66465199,-0.04346099900000001,0.873404682,1.9723167419999998,85.0,42.0,237.0,6.5,82.7,56.0,1.0,0.0,93.0,159.0,63.6,2.0,93.0,93.0,0.1,349.14755,673582.0,0.6,0.6,0.8809999999999999,16.3
30,Singapore,6.377099991000001,11.39552116,0.9102689620000001,76.80458069,0.926645339,0.029879224,0.109784193,1.9723167419999998,60.0,12.0,11.0,1.5,83.1,55.0,0.0,0.0,96.0,0.0,33.2,0.0,96.0,96.0,0.1,53629.737460000004,12796652.364,2.2,2.2,0.924,15.4
31,Brazil,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.10181239199999999,0.7706012729999999,1.9723167419999998,245.0,145.0,16.0,7.2,75.0,142.0,42.0,0.0,96.0,214.0,56.1,47.0,98.0,96.0,0.1,8757.2622,2596218.0,2.7,2.6,0.754,15.2
32,Slovenia,6.363399982000001,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.9723167419999998,270.0,51.0,276.0,10.6,88.0,74.0,0.0,0.0,80.9051094890511,18.0,6.1,0.0,95.0,95.0,0.1,2729.8638300000002,263531.0,1.4,1.3,0.888,17.3
33,El Salvador,6.34829998,8.909075737,0.8060922620000001,66.10826111,0.833805263,-0.12107297800000001,0.754319906,1.9723167419999998,52.0,69.0,2.0,2.2,73.5,178.0,2.0,0.0,91.0,0.0,56.1,2.0,92.0,91.0,0.2,4127.11775,6312478.0,1.6,1.5,0.6779999999999999,13.2
34,Kosovo,6.325200081,9.204429626,0.8207265140000001,63.88555527,0.861535907,0.19093376399999998,0.922328293,1.9723167419999998,112.98648648648648,77.83108108108108,54.945945945945944,5.0027027027027025,71.8109589041096,154.05479452054794,29.671232876712327,2.98804693369863,80.9051094890511,1824.2671232876712,42.298620689655166,39.21917808219178,83.5958904109589,83.75342465753425,0.7328767123287672,7343.770473535714,12796652.364,4.493103448275862,4.49448275862069,0.6994604316546762,13.14820143884892
35,Panama,6.304800033999999,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1.9723167419999998,285.0,104.0,18.0,7.2,77.8,118.0,1.0,0.0,73.0,0.0,57.8,1.0,72.0,73.0,0.1,13134.4367,3969249.0,1.9,1.8,0.785,13.0
36,Slovakia,6.280600071,10.34774971,0.9224937559999999,68.90634155,0.7499526740000001,-0.12440930300000001,0.918096125,1.9723167419999998,196.0,293.0,116.0,11.4,76.7,19.0,0.0,0.0,96.0,1.0,59.1,0.0,96.0,96.0,0.1,7343.770473535714,12796652.364,1.2,1.2,0.8420000000000001,15.0
37,Uzbekistan,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.9723167419999998,25.0,101.0,8.0,2.4,69.4,184.0,15.0,0.0,99.0,22.0,44.7,17.0,99.0,99.0,0.1,2137.576852,312989.0,3.0,3.1,0.6970000000000001,12.1
38,Chile,6.228499889,10.0320549,0.879713595,69.90061951,0.7448962929999999,-0.065668367,0.838239431,1.9723167419999998,130.0,124.0,172.0,7.6,85.0,82.0,2.0,0.0,97.0,9.0,63.8,2.0,96.0,96.0,0.1,13653.2264,17762681.0,0.8,0.8,0.845,16.3
39,Bahrain,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393470999999999,1.9723167419999998,42.0,63.0,7.0,2.0,76.9,69.0,0.0,0.0,98.0,0.0,63.6,0.0,98.0,98.0,0.1,22688.878240000002,12796652.364,6.2,6.1,0.823,14.5
40,Lithuania,6.215499877999999,10.34362602,0.926107109,67.29407501,0.747381449,-0.21972529600000001,0.809583843,1.9723167419999998,343.0,244.0,56.0,12.9,73.6,165.0,0.0,0.0,94.0,50.0,62.4,0.0,93.0,93.0,0.1,14252.428530000001,29491.0,2.6,2.6,0.846,16.5
41,Trinidad & Tobago,6.1918997760000005,10.26000214,0.91529417,63.5,0.8579071159999999,0.000526841,0.9122306109999999,1.9723167419999998,197.0,156.0,7.0,6.4,71.2,17.0,0.0,0.0,9.0,0.0,47.1,0.0,88.0,96.0,0.3,17321.833730000002,13692.0,5.7,5.9,0.779,12.7
42,Poland,6.1862998010000005,10.26512432,0.874257445,69.31113434,0.8620557790000001,-0.205084071,0.6869270209999999,1.9723167419999998,343.0,215.0,56.0,10.9,77.5,117.0,2.0,0.0,96.0,0.0,61.7,2.0,92.0,98.0,0.1,12565.9876,37986412.0,1.9,2.0,0.852,16.4
43,Colombia,6.163400172999999,9.500369072,0.884440243,67.69958496,0.8361799120000001,-0.161235645,0.86457181,1.9723167419999998,159.0,76.0,3.0,4.2,74.8,143.0,10.0,0.0,91.0,1.0,57.9,12.0,91.0,91.0,0.1,644.5255559999999,48228697.0,2.1,1.9,0.7240000000000001,13.6
